发生变化的参数 (按变化量排序):
audio_embedding_last_Linear.0.weight: 0.581149
llama.model.embed_tokens.weight: 0.376953
audio_embedding_last_Linear.2.weight: 0.257619
llama.model.layers.15.mlp.down_proj.weight: 0.105957
llama.model.layers.14.mlp.down_proj.weight: 0.098145
llama.model.layers.14.mlp.up_proj.weight: 0.094238
llama.model.layers.15.mlp.up_proj.weight: 0.092773
llama.model.layers.13.mlp.down_proj.weight: 0.092285
llama.model.layers.15.mlp.gate_proj.weight: 0.090820
llama.model.layers.12.mlp.down_proj.weight: 0.090332
llama.model.layers.13.mlp.up_proj.weight: 0.090332
llama.model.layers.10.mlp.down_proj.weight: 0.088867
llama.model.layers.11.mlp.down_proj.weight: 0.088867
llama.model.layers.14.mlp.gate_proj.weight: 0.088867
llama.model.layers.10.mlp.up_proj.weight: 0.088379
llama.model.layers.11.mlp.up_proj.weight: 0.088379
llama.model.layers.12.mlp.up_proj.weight: 0.088379
llama.model.layers.7.mlp.down_proj.weight: 0.087402
llama.model.layers.8.mlp.up_proj.weight: 0.087402
llama.model.layers.8.mlp.down_proj.weight: 0.087402
llama.model.layers.6.mlp.down_proj.weight: 0.086914
llama.model.layers.9.mlp.down_proj.weight: 0.086914
llama.model.layers.13.mlp.gate_proj.weight: 0.086914
llama.model.layers.9.mlp.up_proj.weight: 0.085938
llama.model.layers.5.mlp.down_proj.weight: 0.085449
llama.model.layers.7.mlp.up_proj.weight: 0.085449
llama.model.layers.3.mlp.up_proj.weight: 0.084961
llama.model.layers.3.mlp.down_proj.weight: 0.084473
llama.model.layers.4.mlp.up_proj.weight: 0.084473
llama.model.layers.4.mlp.down_proj.weight: 0.084473
llama.model.layers.5.mlp.up_proj.weight: 0.084473
llama.model.layers.6.mlp.up_proj.weight: 0.084473
llama.model.layers.12.mlp.gate_proj.weight: 0.082520
llama.model.layers.2.mlp.up_proj.weight: 0.082031
llama.model.layers.2.mlp.down_proj.weight: 0.081543
llama.model.layers.11.mlp.gate_proj.weight: 0.080566
llama.model.layers.10.mlp.gate_proj.weight: 0.080078
llama.model.layers.1.mlp.up_proj.weight: 0.079590
llama.model.layers.1.mlp.down_proj.weight: 0.079590
llama.model.layers.8.mlp.gate_proj.weight: 0.079590
llama.model.layers.9.mlp.gate_proj.weight: 0.079102
llama.model.layers.0.mlp.up_proj.weight: 0.078125
llama.model.layers.7.mlp.gate_proj.weight: 0.078125
llama.model.layers.0.mlp.down_proj.weight: 0.077637
llama.model.layers.6.mlp.gate_proj.weight: 0.074707
llama.model.layers.0.mlp.gate_proj.weight: 0.074219
llama.model.layers.2.mlp.gate_proj.weight: 0.074219
llama.model.layers.1.mlp.gate_proj.weight: 0.073730
llama.model.layers.3.mlp.gate_proj.weight: 0.073242
llama.model.layers.5.mlp.gate_proj.weight: 0.073242
llama.model.layers.4.mlp.gate_proj.weight: 0.071289
llama.model.layers.15.self_attn.o_proj.weight: 0.052979
llama.model.layers.12.self_attn.o_proj.weight: 0.049316
llama.model.layers.10.self_attn.o_proj.weight: 0.048584
llama.model.layers.13.self_attn.o_proj.weight: 0.048584
llama.model.layers.14.self_attn.o_proj.weight: 0.048340
llama.model.layers.0.self_attn.o_proj.weight: 0.048096
llama.model.layers.15.self_attn.q_proj.weight: 0.047607
llama.model.layers.11.self_attn.o_proj.weight: 0.047363
llama.model.layers.5.self_attn.o_proj.weight: 0.046631
llama.model.layers.7.self_attn.o_proj.weight: 0.046143
llama.model.layers.8.self_attn.o_proj.weight: 0.046143
llama.model.layers.1.self_attn.o_proj.weight: 0.045898
llama.model.layers.2.self_attn.o_proj.weight: 0.045898
llama.model.layers.6.self_attn.o_proj.weight: 0.045898
llama.model.layers.9.self_attn.o_proj.weight: 0.045898
llama.model.layers.4.self_attn.o_proj.weight: 0.043701
llama.model.layers.14.self_attn.q_proj.weight: 0.043457
llama.model.layers.3.self_attn.o_proj.weight: 0.041992
llama.model.layers.10.self_attn.q_proj.weight: 0.041992
llama.model.layers.13.self_attn.q_proj.weight: 0.040527
llama.model.layers.12.self_attn.q_proj.weight: 0.039062
llama.model.layers.7.self_attn.q_proj.weight: 0.038818
llama.model.layers.8.self_attn.q_proj.weight: 0.037842
llama.model.layers.9.self_attn.q_proj.weight: 0.037598
llama.model.layers.2.self_attn.q_proj.weight: 0.037109
llama.model.layers.3.self_attn.q_proj.weight: 0.036865
llama.model.layers.4.self_attn.q_proj.weight: 0.036621
llama.model.layers.6.self_attn.q_proj.weight: 0.036133
llama.model.layers.11.self_attn.q_proj.weight: 0.036133
llama.model.layers.5.self_attn.q_proj.weight: 0.035400
llama.model.layers.1.self_attn.q_proj.weight: 0.033203
llama.model.layers.0.self_attn.q_proj.weight: 0.030762
llama.model.layers.0.self_attn.v_proj.weight: 0.028320
llama.model.layers.13.self_attn.v_proj.weight: 0.026489
llama.model.layers.1.self_attn.v_proj.weight: 0.026123
llama.model.layers.10.self_attn.v_proj.weight: 0.025879
llama.model.layers.5.self_attn.v_proj.weight: 0.025269
llama.model.layers.12.self_attn.v_proj.weight: 0.025269
llama.model.layers.15.self_attn.v_proj.weight: 0.025269
llama.model.layers.11.self_attn.v_proj.weight: 0.025146
llama.model.layers.8.self_attn.v_proj.weight: 0.024414
llama.model.layers.6.self_attn.v_proj.weight: 0.024292
llama.model.layers.9.self_attn.v_proj.weight: 0.024292
llama.model.layers.2.self_attn.v_proj.weight: 0.024170
llama.model.layers.4.self_attn.v_proj.weight: 0.023804
llama.model.layers.7.self_attn.v_proj.weight: 0.023438
llama.model.layers.14.self_attn.v_proj.weight: 0.023193
llama.model.layers.3.self_attn.v_proj.weight: 0.022217
llama.model.layers.15.self_attn.k_proj.weight: 0.019897
